City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
115,Terme,TR,2021-01-07 21:31:13,41.2092,36.9739,44.6,81,0,4.61,clear sky
116,Bilma,NE,2021-01-07 21:31:13,18.6853,12.9164,73.67,19,0,5.37,clear sky
117,Bethel,US,2021-01-07 21:31:14,41.3712,-73.414,33.01,68,0,3.0,clear sky
118,Bonthe,SL,2021-01-07 21:31:14,7.5264,-12.505,79.39,84,100,8.32,overcast clouds
119,Talaya,RU,2021-01-07 21:31:14,61.3833,152.75,-25.46,82,25,0.36,scattered clouds
120,Bredasdorp,ZA,2021-01-07 21:29:03,-34.5322,20.0403,69.8,64,41,8.05,scattered clouds
121,Ukiah,US,2021-01-07 21:31:15,39.1502,-123.2078,54.0,66,1,3.4,clear sky
122,Olafsvik,IS,2021-01-07 21:31:15,64.8945,-23.7142,38.52,94,100,25.05,moderate rain
123,Upernavik,GL,2021-01-07 21:31:15,72.7868,-56.1549,-2.33,91,100,6.08,overcast clouds
124,Alice Springs,AU,2021-01-07 21:29:20,-23.7,133.8833,60.8,59,0,7.27,clear sky
125,Yuyao,CN,2021-01-07 21:31:16,30.05,121.1494,24.01,49,0,13.42,clear sky
126,Bela Vista,BR,2021-01-07 21:31:16,-22.1089,-56.5211,78.76,88,65,2.17,broken clouds
127,Chuy,UY,2021-01-07 21:31:16,-33.6971,-53.4616,72.57,74,40,10.56,scattered clouds
128,Victoria,HK,2021-01-07 21:31:16,22.2855,114.1577,46.99,75,100,1.01,overcast clouds
129,Lagoa,PT,2021-01-07 21:31:16,39.05,-27.9833,56.57,68,27,21.05,scattered clouds
130,Beringovskiy,RU,2021-01-07 21:31:17,63.05,179.3167,-16.65,86,14,5.82,few clouds
131,Cayenne,GF,2021-01-07 21:30:07,4.9333,-52.3333,75.2,100,75,9.22,heavy intensity rain
132,Mayo,US,2021-01-07 21:31:17,38.8876,-76.5119,45.0,49,1,6.91,clear sky
133,Puerto Ayora,EC,2021-01-07 21:31:17,-0.7393,-90.3518,84.2,54,0,18.41,clear sky
134,Cabo San Lucas,MX,2021-01-07 21:28:13,22.8909,-109.9124,81.0,44,20,13.8,few clouds
135,Coquimbo,CL,2021-01-07 21:30:06,-29.9533,-71.3436,64.4,68,20,12.66,few clouds
