City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
448,Morant Bay,JM,84.2,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
451,Santa Cruz,BO,82.24,clear sky,-17.8,-63.1667,Hotel Cortez
456,Pajapan,MX,75.2,light rain,18.25,-94.7,Hotel Del Carmen
461,Amahai,ID,82.0,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
465,Inhambane,MZ,76.5,overcast clouds,-23.865,35.3833,Oceano
466,Miri,MY,75.2,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
467,Tacuati,PY,75.11,overcast clouds,-23.45,-56.5833,
470,Kununurra,AU,77.0,scattered clouds,-15.7667,128.7333,Hotel Kununurra
475,Beruwala,LK,78.35,scattered clouds,6.4788,79.9828,The Palms Hotel
492,Beberibe,BR,82.4,clear sky,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
493,Santa Isabel,BR,86.0,moderate rain,-23.3156,-46.2214,Chácara Sombra do Altíssimo
504,Taganak,PH,75.2,few clouds,6.0833,118.3,
505,Angoche,MZ,80.49,overcast clouds,-16.2325,39.9086,Guest House HESADA
509,Jalingo,NG,78.42,broken clouds,8.8833,11.3667,Debright Motel
511,Riberalta,BO,76.96,broken clouds,-10.9833,-66.1,Hotel Colonial
515,Wawa,NG,79.66,scattered clouds,9.9022,4.4192,
517,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
523,Talara,PE,82.4,clear sky,-4.5772,-81.2719,Hostal Oro Negro
524,Araouane,ML,77.16,scattered clouds,18.9048,-3.5265,
528,Nhulunbuy,AU,78.8,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
533,Sorong,ID,80.65,broken clouds,-0.8833,131.25,The Waigo Hotel
534,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
535,Macas,EC,75.2,light rain,-2.3167,-78.1167,Casa Upano - Guesthouse & Sanctuary
546,Vangaindrano,MG,75.78,light rain,-23.35,47.6,Hotel Fanilo
548,Manggar,ID,79.68,overcast clouds,-2.8833,108.2667,Guest Hotel
549,Bella Union,UY,89.62,clear sky,-30.2752,-57.6007,Hotel Oriente
552,Acarau,BR,80.76,clear sky,-2.8856,-40.12,castelo pizzaria
561,Ternate,ID,79.18,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
562,Dumai,ID,75.56,overcast clouds,1.6833,101.45,Grand Zuri Dumai
563,Souillac,MU,77.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
570,Rosarito,MX,75.2,broken clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
571,Tucurui,BR,81.07,light rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
572,Sri Aman,MY,75.2,moderate rain,1.2376,111.4621,Seri Simanggang Hotel
575,Koumac,NC,85.62,broken clouds,-20.5667,164.2833,Le Monitel
580,Sibolga,ID,76.96,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
582,Sambava,MG,76.44,light rain,-14.2667,50.1667,Melrose
587,Acapulco,MX,82.4,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
588,Vanimo,PG,79.81,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
590,Werda,BW,75.09,overcast clouds,-25.2667,23.2833,
591,Porto Belo,BR,75.2,moderate rain,-27.1578,-48.5531,Costa Verde Beach Hotel
594,Dingle,PH,75.58,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
595,Sao Jose Da Coroa Grande,BR,78.89,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
596,Maceio,BR,78.8,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
598,Catamarca,AR,86.0,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
602,Manaure,CO,84.25,broken clouds,11.7751,-72.4445,Hotel Palaaima
606,Merauke,ID,77.36,moderate rain,-8.4667,140.3333,
607,Mount Isa,AU,80.6,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
611,San Alberto,CO,84.56,light rain,7.7611,-73.3922,Hotel San Alberto Plaza
614,Gemena,CD,75.72,scattered clouds,3.25,19.7667,Hôtel Goshen
617,Treinta Y Tres,UY,82.47,scattered clouds,-33.2333,-54.3833,Jardines Apart-Hotel
618,Zwedru,LR,75.81,scattered clouds,6.0667,-8.1281,Elijah Worjloh
619,Mutis,CO,78.85,light rain,6.2262,-77.4044,Paraiso Escondido
622,Quepos,CR,77.0,broken clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
626,Ourinhos,BR,75.0,heavy intensity rain,-22.9789,-49.8706,Ville Park Hotel
628,Tarrafal,CV,75.2,clear sky,15.2833,-23.7667,Hotel Ixola
629,Mabaruma,GY,77.38,light rain,8.2,-59.7833,
637,Kilindoni,TZ,81.07,few clouds,-7.9139,39.6668,Bustani B&B
638,Banjar,ID,77.0,broken clouds,-8.19,114.9675,The Hamsa Resort
640,Carutapera,BR,80.46,clear sky,-1.195,-46.02,Lidera
643,Kisangani,CD,75.09,few clouds,0.5167,25.2,Grand Ramela Hotel
646,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
648,Quixada,BR,83.5,few clouds,-4.9714,-39.0153,Hotel Vale das Pedras
651,Portel,BR,79.93,broken clouds,-1.9356,-50.8211,Kitnet do Marcos
662,Ocos,GT,87.8,few clouds,14.5094,-92.1933,Auto Hotel El Soñador
664,Pangai,TO,82.4,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
667,Key West,US,75.2,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
671,Banda Aceh,ID,78.15,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
674,Atambua,ID,75.15,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
689,Perbaungan,ID,75.2,scattered clouds,3.5679,98.956,Bendang Lama
